Adresse,Nom,Type,Commentaire,Adresse_ABS,Categorie
520.0,_21_Ramp_actual_R,REAL,Temps d'accélération effectif en sec . Mécanisme d'orientation,%DB102.DBD520,Télémesure
524.0,_21_Enc_DEG_actual_R,REAL,Angle d'orientation superstructure / châssis (codeur) Mécanisme d'orientation,%DB102.DBD524,Télémesure
528.0,_21_MS3_N_R,REAL,Valeur de consigne vitesse moteur Mécanisme d'orientation,%DB102.DBD528,Téléréglage
532.0,_21_N_max_crane,REAL,Vitesse maxi de la grue en tr/min Mécanisme d'orientation,%DB102.DBD532,Télémesure
536.0,_21_N_max_reduce_hook,BOOL,Vitesse maxi superstructure réduite pour le service crochet Mécanisme d'orientation,%DB102.DBX536.0,Télésignal
536.1,_21_N_max_reduc_spreader,BOOL,Vitesse maxi superstructure réduite pour le service spreader P DWON Mécanisme d'orientation,%DB102.DBX536.1,Télésignal
536.2,_21_N_max_reduce_4R_grab,BOOL,Vitesse maxi superstructure réduite pour le service benne à quatre w C câble mws w Mécanisme d'orientation,%DB102.DBX536.2,Télésignal
538.0,_21_V_max_actual,REAL,Vitesse maxi à la périphérie en m/mi n réduite Mécanisme d'orientation,%DB102.DBD538,Télémesure
542.0,_21_N_max_actual,REAL,Vitesse d'orientation maxi en tr/min réduite Mécanisme d'orientation,%DB102.DBD542,Télémesure
546.0,_21_Mot_1_temp,REAL,Méc.orient.1: température du moteur en degrés Celsius Mécanisme d'orientation 1,%DB102.DBD546,Télémesure
550.0,_21_Mot_2_temp,REAL,Méc.orient.2: température du moteur en degrés Celsius Mécanisme d'orientation 2,%DB102.DBD550,Télémesure
554.0,_21_Mot_3_temp,REAL,Méc.orient.3: température du moteur en degrés Celsius Mécanisme d'orientation 3,%DB102.DBD554,Télémesure
558.0,_21_Mot_4_temp,REAL,Méc.orient.4: température du moteur en degrés Celsius Mécanisme d'orientation 4,%DB102.DBD558,Télémesure
562.0,_21_V_actual,REAL,Vitesse périphérique actuelle en m/ min. Mécanisme d'orientation,%DB102.DBD562,Télémesure
566.0,_21_I_actual_R_mot_1,REAL,Courant d’induit moteur d'orientatio n 1 Mécanisme d'orientation 1,%DB102.DBD566,Télémesure
570.0,_21_I_actual_R_mot_2,REAL,Courant d’induit moteur d'orientatio n 2 Mécanisme d'orientation 2,%DB102.DBD570,Télémesure
574.0,_21_I_actual_R_mot_3,REAL,Courant d’induit moteur d'orientatio n 3 Mécanisme d'orientation 3,%DB102.DBD574,Télémesure
578.0,_21_CMD_setp_TC_R,REAL,Valeur de consigne manipulateur pour orientation Mécanisme d'orientation,%DB102.DBD578,Téléréglage
582.0,_21_CMD_setp_TC_I,INT,Manipulateur méc. d'orientation: valeur brute de la valeur de consigne Mécanisme d'orientation,%DB102.DBW582,Téléréglage
584.0,_31_Setpoint_X_R,REAL,Méc. de volée: valeur de consigne de vitesse Méc. variation de volée hydraul.,%DB102.DBD584,Téléréglage
588.0,_31_Setpoint_Y_R,REAL,Trans. consigne du méc. var. volée àla soupape proport. du cyl. de var. volée Méc. variation de volée hydraul.,%DB102.DBD588,Téléréglage
592.0,_31_RAD_limit_POS_R,REAL,Relevage flèche: calculer la portée admissible Méc. variation de volée hydraul.,%DB102.DBD592,Télémesure
596.0,_31_RAD_limit_NEG_R,REAL,Abaissement flèche: calculer la portée admissible Méc. variation de volée hydraul.,%DB102.DBD596,Télémesure
600.0,_31_RAD_limit_NEG_Vi_R,REAL,Abaissement flèche pour la visualisa tion: calculer la portée admissible Méc. variation de volée hydraul.,%DB102.DBD600,Télémesure
604.0,_31_RAD_perm_cent_R,REAL,Portée admissible en pourcentage Méc. variation de volée hydraul.,%DB102.DBD604,Télémesure
608.0,_31_MS_I_X_R,REAL,Ordre: lire et adapter valeur de con signe Méc. variation de volée hydraul. 1,%DB102.DBD608,Télémesure
612.0,_31_MS_I_Y_R,REAL,Ordre: lire et adapter valeur de con signe Méc. variation de volée hydraul. 2,%DB102.DBD612,Télémesure
616.0,_31_Z_F_Y_R,REAL,Calculer la valeur de consigne en fo nction de la portée Méc. variation de volée hydraul.,%DB102.DBD616,Téléréglage
620.0,_31_MS_M_Y_R,REAL,Réduction valeur de consigne de la s oupape d’étranglement du méc. de volée Méc. variation de volée hydraul.,%DB102.DBD620,Téléréglage
624.0,_31_MS_pre_limit_Y_R,REAL,Valeur de consigne vitesse pré-fin de course Méc. variation de volée hydraul.,%DB102.DBD624,Téléréglage
628.0,_31_Ramp_G_Y_R,REAL,Générateur de rampe Méc. variation de volée hydraul.,%DB102.DBD628,Télémesure
632.0,_31_V_perm_POS_R,REAL,Vitesse admissible pour relevage dela flèche Méc. variation de volée hydraul. 1,%DB102.DBD632,Télémesure
636.0,_31_V_perm_NEG_R,REAL,Vitesse admissible pour abaissement de la flèche Méc. variation de volée hydraul. 1,%DB102.DBD636,Télémesure
640.0,_31_v_actual_R,REAL,Vitesse réelle du cylindre de variat ion de volée Méc. variation de volée hydraul.,%DB102.DBD640,Télémesure
644.0,_31_s_actual_R,REAL,Valeur réelle course de la soupape p roportionnelle Méc. variation de volée hydraul.,%DB102.DBD644,Télémesure
648.0,_31_s_diff_R,REAL,Ecart valeur réelle/valeur de consig ne de la soupape proport. du méc.vol ée Méc. variation de volée hydraul.,%DB102.DBD648,Télémesure
652.0,_31_RAD_actual_R,REAL,Portée en mètres (codeur absolu) Méc. variation de volée hydraul.,%DB102.DBD652,Télémesure
656.0,_31_V_perm_POS_R1,REAL,Vitesse admissible pour relevage dela flèche Méc. variation de volée hydraul. 2,%DB102.DBD656,Télémesure
660.0,_31_V_perm_NEG_R1,REAL,Vitesse admissible pour abaissement de la flèche Méc. variation de volée hydraul. 2,%DB102.DBD660,Télémesure
664.0,_31_CMD_setp_TC_R,REAL,Valeur de consigne manipulateur pour volée Méc. variation de volée hydraul.,%DB102.DBD664,Téléréglage
668.0,_31_CMD_setp_TC_I,INT,Manipulateur méc. variation de volée : valeur brute de la valeur de consi gne Méc. variation de volée hydraul.,%DB102.DBW668,Téléréglage
670.0,_31_pressure_rod,REAL,Pression méc. de volée côté fond Méc. variation de volée hydraul.,%DB102.DBD670,Télémesure
674.0,_31_pressure_piston,REAL,Pression méc. de volée côté tige Méc. variation de volée hydraul.,%DB102.DBD674,Télémesure
678.0,_41_Travel_setpoint_R,REAL,Translation: valeur de consigne Méc. translation électrique,%DB102.DBD678,Téléréglage
682.0,_41_F_setpoint_R,REAL,Consigne de fréquence en Hz Méc. translation électrique,%DB102.DBD682,Téléréglage
686.0,_41_N_actual_R,REAL,Valeur réelle vitesse en t/min Méc. translation électrique,%DB102.DBD686,Télémesure
690.0,_41_V_actual_R,REAL,Valeur réelle de vitesse en m/ min. Méc. translation électrique,%DB102.DBD690,Télémesure
694.0,_41_IO_actual_R,REAL,Valeur réelle du courant en A Méc. translation électrique,%DB102.DBD694,Télémesure
698.0,_41_UD_actual_R,REAL,Tension du circuit intermédiaire enV Méc. translation électrique,%DB102.DBD698,Télémesure
702.0,_41_UO_actual_R,REAL,Tension de sortie en V Méc. translation électrique,%DB102.DBD702,Télémesure
706.0,_41_Travel_Position,REAL,Position réelle méc. translation Méc. translation électrique,%DB102.DBD706,Télémesure
710.0,_41_MS1_X_R,REAL,Ordre: lire et adapter valeur de con signe Méc. translation électrique 1,%DB102.DBD710,Télémesure
714.0,_41_MS1_Y_R,REAL,Ordre: lire et adapter valeur de con signe Méc. translation électrique 2,%DB102.DBD714,Télémesure
718.0,_42_Travel_Setpoint_R,REAL,Valeur de consigne translation Méc. translation méc.-hydraul.,%DB102.DBD718,Téléréglage
722.0,_42_Setpoint_Travel_Y_R,REAL,Translation . entrée de la valeur de consigne générateur de rampe Méc. translation méc.-hydraul.,%DB102.DBD722,Téléréglage
726.0,_42_Brake_Setpoint_R,REAL,Valeur de consigne freinage P DWON Méc. translation méc.-hydraul.,%DB102.DBD726,Téléréglage
730.0,_42_Setpoint_Brake_Y_R,REAL,Valeur de consigne freinage avant gé nérateur de rampe w C mw Méc. translation méc.-hydraul.,%DB102.DBD730,Téléréglage
734.0,_42_MS11_X_R,REAL,Ordre: lire et adapter val. w consigne pour manipulateur transl. cab. de tour Méc. translation méc.-hydraul.,%DB102.DBD734,Téléréglage
738.0,_42_MS21_X_R,REAL,Ordre: lire et adapter val. consigne pour manipulateur transl. cab. conduite Méc. translation méc.-hydraul.,%DB102.DBD738,Téléréglage
742.0,_42_MS31_Y_R,REAL,Activer pré-fin de course Méc. translation méc.-hydraul. 1,%DB102.DBD742,Télémesure
746.0,_42_MS32_Y_R,REAL,Activer pré-fin de course Méc. translation méc.-hydraul. 2,%DB102.DBD746,Télémesure
750.0,_42_MS13_X_R,REAL,Ordre: lire et adapter valeur de con signe Méc. translation méc.-hydraul. 1,%DB102.DBD750,Télémesure
754.0,_42_MS23_X_R,REAL,Ordre: lire et adapter valeur de con signe Méc. translation méc.-hydraul. 2,%DB102.DBD754,Télémesure
758.0,_42_MS33_Y_R,REAL,Activer pré-fin de course Méc. translation méc.-hydraul. 3,%DB102.DBD758,Télémesure
762.0,_42_Press_service_brake,REAL,Interrupteur à pression du frein de service Méc. translation méc.-hydraul.,%DB102.DBD762,Télémesure
766.0,_42_Press_monitoring,REAL,Interrupteur à pression de l’accumul ateur de pression Méc. translation méc.-hydraul.,%DB102.DBD766,Télémesure
770.0,_42_Press_parking_brake,REAL,Interrupteur à pression du frein de stationnement Méc. translation méc.-hydraul.,%DB102.DBD770,Télémesure
774.0,_46_Steer_Setpoint_R,REAL,Transmission de consigne pour l’entr ée du générateur de rampe de directi on Système de direction,%DB102.DBD774,Téléréglage
778.0,_46_Setpoint_Steer_Y_R,REAL,Transmission de consigne pour la dir ection Système de direction,%DB102.DBD778,Téléréglage
782.0,_46_MS12_X_R,REAL,Ordre: lire et adapter valeur de con signe Système de direction 1,%DB102.DBD782,Télémesure
786.0,_46_MS22_X_R,REAL,Ordre: lire et adapter valeur de con signe Système de direction 2,%DB102.DBD786,Télémesure
790.0,_51_spreader_typ,INT,"Type de spreader: 1=20,30,35,40', 2= 20,30,40,45', 3=20,30,40' Spreader",%DB102.DBW790,Télémesure
792.0,_53_CTU_CV_I1,INT,Valeur de comptage:commande de démar rage enrouleur à câble flèche pour r edémar. Enrouleur à câble de flèche,%DB102.DBW792,Télécommunication
794.0,_53_Res_int1,INT,Enrouleur à câble de flèche 1,%DB102.DBW794,Télémesure
796.0,_53_N_actual_R,REAL,Valeur réelle vitesse en t/min Enrouleur à câble de flèche,%DB102.DBD796,Télémesure
800.0,_53_N_Calc_Setvalue_R,REAL,Valeur de consigne de vitesse calcul ée Enrouleur à câble de flèche,%DB102.DBD800,Téléréglage
804.0,_53_n_Set_act_Diff_R,REAL,Différence valeur réelle n / valeur de consigne n Enrouleur à câble de flèche,%DB102.DBD804,Téléréglage
808.0,_53_Torq_from_Drive,REAL,Valeur réelle du couple venant de l' entraînement Enrouleur à câble de flèche,%DB102.DBD808,Télémesure
812.0,_53_I_actual,REAL,Courant apparent Enrouleur à câble de flèche,%DB102.DBD812,Télémesure
816.0,_53_n_Setp_virt_PT1,REAL,Valeur antérieure opérateur PT1 : li ssage Enrouleur à câble de flèche,%DB102.DBD816,Téléréglage
820.0,_53_INF1_DC_Link_voltage,REAL,Unité d'alimentation 1: tension circuit intermédiaire Enrouleur à câble de flèche 1,%DB102.DBD820,Télémesure
824.0,_53_INF1_DC_Link_current,REAL,Unité d'alimentation 1: courant circuit intermédiaire Enrouleur à câble de flèche 1,%DB102.DBD824,Télémesure
828.0,_53_INF2_DC_Link_voltage,REAL,Unité d'alimentation 2: tension circuit intermédiaire Enrouleur à câble de flèche 2,%DB102.DBD828,Télémesure
832.0,_53_INF2_DC_Link_current,REAL,Unité d'alimentation 2: courant circuit intermédiaire Enrouleur à câble de flèche 2,%DB102.DBD832,Télémesure
836.0,_53_INF_Res_1,REAL,Enrouleur à câble de flèche 2,%DB102.DBD836,Télémesure
840.0,_53_INF_Res_2,REAL,Enrouleur à câble de flèche 3,%DB102.DBD840,Télémesure
844.0,_53_INF_Res_3,REAL,Enrouleur à câble de flèche 4,%DB102.DBD844,Télémesure
848.0,_53_Firmware_CU,DINT,État du firmware actuel CU1 Enrouleur à câble de flèche,%DB102.DBD848,Télémesure
852.0,_53_Mot_temp,REAL,Température du moteur en degrés Celsius Enrouleur à câble de flèche,%DB102.DBD852,Télémesure
856.0,Cycle_Time_R,REAL,Temps de cycle effectif,%DB102.DBD856,Télémesure
860.0,_61_B11_Angle_X_R,REAL,Calage: angle de l’axe X Equipements de sécurité 1,%DB102.DBD860,Télémesure
864.0,_61_B11_Angle_Y_R,REAL,Calage: angle de l’axe Y Equipements de sécurité 1,%DB102.DBD864,Télémesure
868.0,_61_B12_Angle_X_R,REAL,Calage: angle de l’axe X Equipements de sécurité 2,%DB102.DBD868,Télémesure
872.0,_61_B12_Angle_Y_R,REAL,Calage: angle de l’axe Y Equipements de sécurité 2,%DB102.DBD872,Télémesure
876.0,_61_Bruttoload_PT1_Y_n_R,REAL,Lissage charge brute Equipements de sécurité,%DB102.DBD876,Télémesure
880.0,_61_RAD_PT1_Y_n_R,REAL,Lissage de la portée Equipements de sécurité,%DB102.DBD880,Télémesure
884.0,_61_B1_RAD_Setvalue_R,REAL,Position de la flèche Equipements de sécurité,%DB102.DBD884,Télémesure
888.0,_61_Rad_S_R,REAL,Portée calculée Equipements de sécurité,%DB102.DBD888,Télémesure
892.0,_61_Wind_actual_R,REAL,Vitesse du vent valeur réelle Equipements de sécurité,%DB102.DBD892,Télémesure
896.0,_61_locking_area,BOOL,Superstructure en position brochage Equipements de sécurité,%DB102.DBX896.0,Téléalarme
896.1,_61_straight_pos,BOOL,Superstructure en position 180° Equipements de sécurité,%DB102.DBX896.1,Téléalarme
898.0,_63_Rad_sec_actual,REAL,Géométrie de la grue: rayon actuel d istance de sécurité Contrôleur d’état de charge,%DB102.DBD898,Télémesure
902.0,_63_Bruttoload_R,REAL,Charge brute en tonnes Contrôleur d’état de charge,%DB102.DBD902,Télémesure
906.0,_63_Taraload_R,REAL,Tare de la charge en tonnes Contrôleur d’état de charge,%DB102.DBD906,Télémesure
910.0,_63_Nettoload_R,REAL,Charge nette en tonnes Contrôleur d’état de charge,%DB102.DBD910,Télémesure
914.0,_63_11_Load_DMS_1_R,REAL,Charge brute méc. levage 1 jauge DMS 1 Contrôleur d’état de charge 1,%DB102.DBD914,Télémesure
918.0,_63_11_Load_DMS_2_R,REAL,Charge brute méc. levage 1 jauge DMS 2 Contrôleur d’état de charge 2,%DB102.DBD918,Télémesure
922.0,_63_11_Diff_DMS_1_2,REAL,Charge brute méc. levage 1: différen ce jauges DMS 1 + 2 Contrôleur d’état de charge 1,%DB102.DBD922,Télémesure
926.0,_63_Perm_Bruttoload_R,REAL,Charge brute en tonnes admissible Contrôleur d’état de charge,%DB102.DBD926,Télémesure
930.0,_63_Perm_Bruttoload_RX_R,REAL,Charge brute en tonnes en portée + x -mètres Contrôleur d’état de charge,%DB102.DBD930,Télémesure
934.0,_63_RAD_Load_max_R,REAL,Portée: régime admissible en fonctio n de la charge Contrôleur d’état de charge,%DB102.DBD934,Télémesure
938.0,_63_RAD_actual_R,REAL,Portée_en mètres Contrôleur d’état de charge,%DB102.DBD938,Télémesure
942.0,_63_Perm_Nettoload_R,REAL,Charge nette admissible en tonnes Contrôleur d’état de charge,%DB102.DBD942,Télémesure
946.0,_63_Bruttoload_relativ_R,REAL,Charge brute relative P DWON Contrôleur d’état de charge,%DB102.DBD946,Télémesure
950.0,_63_Load_torque_R,REAL,Couple de charge en mètres x tonnes (portée x charge) w C mw Contrôleur d’état de charge,%DB102.DBD950,Télémesure
954.0,_63_Curve_No_I,INT,Courbe sélectionnée w Contrôleur d’état de charge,%DB102.DBW954,Télémesure
956.0,_63_SLI_Test_No_I,INT,Numéro courbe de charge: test CEC Contrôleur d’état de charge,%DB102.DBW956,Télémesure
958.0,_63_11_Load_collective,REAL,Compteur spectre de charge du méc. l evage Contrôleur d’état de charge,%DB102.DBD958,Télémesure
962.0,_63_12_Load_DMS_1_R,REAL,Charge brute méc. levage 2 jauge DMS 1 Contrôleur d’état de charge 3,%DB102.DBD962,Télémesure
966.0,_63_12_Load_DMS_2_R,REAL,Charge brute méc. levage 2 jauge DMS 2 Contrôleur d’état de charge 4,%DB102.DBD966,Télémesure
970.0,_63_12_Diff_DMS_1_2,REAL,Charge brute méc. levage 2: différen ce jauges DMS 1 + 2 Contrôleur d’état de charge 2,%DB102.DBD970,Télémesure
974.0,Vi_63_Value_act_4R_grab,INT,Valeur actuelle de la force de levag e de la benne à quatre câbles Contrôleur d’état de charge,%DB102.DBW974,Télémesure
976.0,Vi_63_Value_4R_grab_1,INT,Capacité de charge valeur benne à 4 câbles 1 Contrôleur d’état de charge 1,%DB102.DBW976,Télémesure
978.0,Vi_63_Value_4R_grab_2,INT,Capacité de charge valeur benne à 4 câbles 2 Contrôleur d’état de charge 2,%DB102.DBW978,Télémesure
980.0,Vi_63_Value_4R_grab_3,INT,Capacité de charge valeur benne à 4 câbles 3 Contrôleur d’état de charge 3,%DB102.DBW980,Télémesure
982.0,Vi_63_Value_4R_grab_4,INT,Capacité de charge valeur benne à 4 câbles 4 Contrôleur d’état de charge 4,%DB102.DBW982,Télémesure
984.0,Vi_63_Value_4R_grab_5,INT,Capacité de charge valeur benne à 4 câbles 5 Contrôleur d’état de charge 5,%DB102.DBW984,Télémesure
986.0,Vi_63_Value_4R_grab_6,INT,Capacité de charge valeur benne à 4 câbles 6 Contrôleur d’état de charge 6,%DB102.DBW986,Télémesure
988.0,Vi_63_EN_SWL_4R_global,BOOL,Validation global affichage capacité de charge pour la benne à 4 câbles Contrôleur d’état de charge,%DB102.DBX988.0,Télésignal
988.1,Vi_63_EN_SWL_4R_grab_1,BOOL,Validation affichage capacité de charge pour la benne à quatre câbles 1 Contrôleur d’état de charge 1,%DB102.DBX988.1,Télésignal
988.2,Vi_63_EN_SWL_4R_grab_2,BOOL,Validation affichage capacité de charge pour la benne à quatre câbles 2 Contrôleur d’état de charge 2,%DB102.DBX988.2,Télésignal
988.3,Vi_63_EN_SWL_4R_grab_3,BOOL,Validation affichage capacité de charge pour la benne à quatre câbles 3 Contrôleur d’état de charge 3,%DB102.DBX988.3,Télésignal
988.4,Vi_63_EN_SWL_4R_grab_4,BOOL,Validation affichage capacité de charge pour la benne à quatre câbles 4 Contrôleur d’état de charge 4,%DB102.DBX988.4,Télésignal
988.5,Vi_63_EN_SWL_4R_grab_5,BOOL,Validation affichage capacité de charge pour la benne à quatre câbles 5 Contrôleur d’état de charge 5,%DB102.DBX988.5,Télésignal
988.6,Vi_63_EN_SWL_4R_grab_6,BOOL,Validation affichage capacité de charge pour la benne à quatre câbles 6 Contrôleur d’état de charge 6,%DB102.DBX988.6,Télésignal
990.0,_63_Error_code,INT,CEC: code de défaut Contrôleur d’état de charge,%DB102.DBW990,Télémesure
992.0,_63_Radius_diff_R,REAL,CEC: différence de portée pour le ca pteur d'angle SSI Contrôleur d’état de charge,%DB102.DBD992,Télémesure
996.0,_63_SLI_check_11_H_act,REAL,"Indicateur CEC, mode test: hauteur de levage actuelle Contrôleur d’état de charge",%DB102.DBD996,Télémesure
1000.0,_63_SLI_check_11_H_perm,REAL,"Indicateur CEC, mode test: hauteur de levage admissible Contrôleur d’état de charge",%DB102.DBD1000,Télémesure
1004.0,_63_SLI_check_11_H_perc,REAL,"Indicateur CEC, mode test: hauteur de levage en % Contrôleur d’état de charge",%DB102.DBD1004,Télémesure
1008.0,_63_SLI_check_31_R_act,REAL,"Indicateur CEC, mode test: portée ac tuelle Contrôleur d’état de charge",%DB102.DBD1008,Télémesure
1012.0,_63_SLI_check_31_R_perm,REAL,"Indicateur CEC, mode test: portée ad missible Contrôleur d’état de charge",%DB102.DBD1012,Télémesure
1016.0,_63_SLI_check_31_R_perc,REAL,"Indicateur CEC, mode test: portée en % Contrôleur d’état de charge",%DB102.DBD1016,Télémesure
1020.0,_63_SLI_check_63_L_act,REAL,"Indicateur CEC, mode test: charge ac tuelle Contrôleur d’état de charge",%DB102.DBD1020,Télémesure
1024.0,_63_SLI_check_63_L_perm,REAL,"Indicateur CEC, mode test: charge ad missible Contrôleur d’état de charge",%DB102.DBD1024,Télémesure
1028.0,_63_SLI_check_63_L_perc,REAL,"Indicateur CEC, mode test: charge en % Contrôleur d’état de charge",%DB102.DBD1028,Télémesure
1032.0,_91_m_ft_R,REAL,"Facteur dépendant des unités pour po rtée/hauteur de levage m = 1, ft = 3 .2808 Commande centralisée CPU programmable",%DB102.DBD1032,Télémesure
1036.0,_91_t_sht_R,REAL,"Facteur dépendant des unités pour ch arge, t = 1, sht = 1.1023 Commande centralisée CPU programmable",%DB102.DBD1036,Télémesure
1040.0,_91_m_s_miles_h_R,REAL,"Facteur dépendant des unités pour vi tesse du vent m/S = 1, miles/h = 2.2 369 Commande centralisée CPU programmable",%DB102.DBD1040,Télémesure
1044.0,_91_Lifting_gear_code_1,INT,Code moyens préh:1e pos 0=croch1=spr 2=twi3=benne4=b4c5=spéc6=palon7=poly 8=coqu Commande centralisée CPU programmable,%DB102.DBW1044,Télécommunication
1046.0,_91_Lifting_gear_code_2,INT,Code moyen de préhension: 2ème mot s électionné par le grutier Commande centralisée CPU programmable,%DB102.DBW1046,Télécommunication
1048.0,_91_63_Tara_load_R,REAL,Tare pour la visualisation Commande centralisée CPU programmable,%DB102.DBD1048,Télémesure
1052.0,_91_Date_Time_STR,STRING,Date et heure indiquées en format String Commande centralisée CPU programmable,,
1078.0,_91_Date_STR,STRING,Date indiquée en format String Commande centralisée CPU programmable,,
1104.0,_91_Time_STR,STRING,Heure indiquée en format String Commande centralisée CPU programmable,,
1130.0,F_97_Contr_set_minimum,BOOL,Adaptation de la vitesse du manipula teur : valeurs mini mémorisées Pupitres de commande,%DB102.DBX1130.0,Télécommunication
1130.1,F_97_Contr_set_default,BOOL,Adaptation de la vitesse du manipula teur : valeurs par défaut mémorisées Pupitres de commande,%DB102.DBX1130.1,Télécommunication
1130.2,F_97_Contr_set_maximum,BOOL,Adaptation de la vitesse du manipula teur : valeurs maxi mémorisées Pupitres de commande,%DB102.DBX1130.2,Télécommunication
1132.0,Search_string,STRING,String (chaîne de caractères) de rec herche pour les types de grue,,
1138.0,Pos_search_string,INT,Position du string de recherche dansla désignation de la grue,%DB102.DBW1138,Télémesure
1140.0,Length_string,INT,Longueur du string pour les types degrue P DWON,%DB102.DBW1140,Télémesure
1142.0,Act_search_string,STRING,Mémoire pour le string de recherche du type de grue w C mw,,
1150.0,Crane_GHMK,STRING,"String de désignation de la w grue ""G HMK""",,
1158.0,Crane_GHSK,STRING,"String de désignation de la grue ""G HSK""",,
1166.0,Crane_GHPK,STRING,"String de désignation de la grue ""G HPK""",,
1174.0,Index_zero,INT,Index quand le type de grue est erroné,%DB102.DBW1174,Télémesure
1176.0,Index_GHMK,INT,Index pour GHMK,%DB102.DBW1176,Télémesure
1178.0,Index_GHSK,INT,Index pour GHSK,%DB102.DBW1178,Télémesure
1180.0,Index_GHPK,INT,Index pour GHPK,%DB102.DBW1180,Télémesure
1182.0,Index_crane_type,INT,Index actuel pour le type de grue,%DB102.DBW1182,Télémesure
1184.0,Prev_Cycle_Time_R,REAL,Temps de cycle précédent,%DB102.DBD1184,Télémesure
1188.0,Used_slaves_old.Slave_3,BOOL,Salle électrique 0 1,%DB102.DBX1188.0,Télésignal
1188.1,Used_slaves_old.Slave_4,BOOL,Salle électrique 1 2,%DB102.DBX1188.1,Télésignal
1188.2,Used_slaves_old.Slave_8,BOOL,Salle électrique 2 3,%DB102.DBX1188.2,Télésignal
1188.3,Used_slaves_old.Slave_11,BOOL,Control Unit Méc. levage 1 / Méc. retenue,%DB102.DBX1188.3,Télésignal
1188.4,Used_slaves_old.Slave_12,BOOL,Mécanisme de levage 1 + 2 + mécanism e d'orientation Méc. levage 2 / Méc. fermeture,%DB102.DBX1188.4,Télésignal
1188.5,Used_slaves_old.Slave_13,BOOL,Entraînement méc. levage 1,%DB102.DBX1188.5,Télésignal
1188.6,Used_slaves_old.Slave_15,BOOL,Résistance freinage 1,%DB102.DBX1188.6,Télésignal
1188.7,Used_slaves_old.Slave_17,BOOL,Entraînement méc. levage 2 Treuil auxiliaire,%DB102.DBX1188.7,Télésignal
1189.0,Used_slaves_old.Slave_18,BOOL,Entraînement méc. translation électr ique,%DB102.DBX1189.0,Télésignal
1189.1,Used_slaves_old.Slave_19,BOOL,Réserve 1,%DB102.DBX1189.1,Télésignal
1189.2,Used_slaves_old.Slave_20,BOOL,Réserve 2,%DB102.DBX1189.2,Télésignal
1189.3,Used_slaves_old.Slave_21,BOOL,Entraînement mécanisme d'orientation Mécanisme d'orientation,%DB102.DBX1189.3,Télésignal
1189.4,Used_slaves_old.Slave_24,BOOL,Cabine de tour,%DB102.DBX1189.4,Télécommunication
1189.5,Used_slaves_old.Slave_25,BOOL,Système anti-ballant,%DB102.DBX1189.5,Télésignal
1189.6,Used_slaves_old.Slave_32,BOOL,Châssis,%DB102.DBX1189.6,Télésignal
1189.7,Used_slaves_old.Slave_36,BOOL,Réserve 3,%DB102.DBX1189.7,Télésignal
1190.0,Used_slaves_old.Slave_44,BOOL,Réserve 4,%DB102.DBX1190.0,Télésignal
1190.1,Used_slaves_old.Slave_48,BOOL,Réserve 5,%DB102.DBX1190.1,Télésignal
1190.2,Used_slaves_old.Slave_53,BOOL,Tambour à câble Enrouleur à câble de flèche,%DB102.DBX1190.2,Télésignal
1190.3,Used_slaves_old.Slave_60,BOOL,Bus ASI superstructure,%DB102.DBX1190.3,Télésignal
1190.4,Used_slaves_old.Slave_61,BOOL,Passerelle CAN superstructure Equipements de sécurité,%DB102.DBX1190.4,Téléalarme
1190.5,Used_slaves_old.Slave_62,BOOL,Passerelle CAN PowerCaps Calage,%DB102.DBX1190.5,Télésignal
1190.6,Used_slaves_old.Slave_63,BOOL,CPU CEC Contrôleur d’état de charge,%DB102.DBX1190.6,Télésignal
1190.7,Used_slaves_old.Slave_64,BOOL,Salle électrique Safety,%DB102.DBX1190.7,Télésignal
1191.0,Used_slaves_old.Slave_69,BOOL,Radiotélécommande Radiocommande,%DB102.DBX1191.0,Télécommunication
1191.1,Used_slaves_old.Slave_70,BOOL,Passerelle CAN châssis,%DB102.DBX1191.1,Télésignal
1191.2,Used_slaves_old.Slave_85,BOOL,EKS cabine de tour,%DB102.DBX1191.2,Télécommunication
1191.3,Used_slaves_old.Slave_86,BOOL,EKS superstructure,%DB102.DBX1191.3,Télésignal
1191.4,Used_slaves_old.Slave_90,BOOL,Réserve 6,%DB102.DBX1191.4,Télésignal
1191.5,Used_slaves_old.Slave_93,BOOL,Manipulateur à droite Commande châssis progr.,%DB102.DBX1191.5,Télécommunication
1191.6,Used_slaves_old.Slave_94,BOOL,Manipulateur à gauche Commandes numériques,%DB102.DBX1191.6,Télécommunication
1191.7,Used_slaves_old.Slave_95,BOOL,11_P_B21 Absolute encoder Système de bus acteur-capteur,%DB102.DBX1191.7,Télésignal
1192.0,Used_slaves_old.Slave_96,BOOL,12_P_B21 Absolute encoder,%DB102.DBX1192.0,Télésignal
1192.1,Used_slaves_old.Slave_97,BOOL,Réserve Pupitres de commande,%DB102.DBX1192.1,Télécommunication
1194.0,Crane_size_STR,STRING,Classe de grue en format String,,
1198.0,Crane_size_I,INT,Classe de grue en format Integer,%DB102.DBW1198,Télémesure
1200.0,Hoist_size_STR,STRING,Taille du mécanisme de levage exprim ée en format String,,
1204.0,Hoist_size_INT,INT,Taille du mécanisme de levage exprim ée en format Integer,%DB102.DBW1204,Télémesure
1206.0,Num_of_axles_STR,STRING,Nombre d'essieux exprimé en format S tring,,
