Adresse,Nom,Type,Commentaire,Adresse_ABS,Fonction,Categorie,Unité
70.0,Array_Pictures_I[36],INT,Sans fonction 36,%DB109.DBW70,Sans fonction,Télémesure,
72.0,Array_Pictures_I[37],INT,Sans fonction 37,%DB109.DBW72,Sans fonction,Télémesure,
74.0,Array_Pictures_I[38],INT,Sans fonction 38,%DB109.DBW74,Sans fonction,Télémesure,
76.0,Array_Pictures_I[39],INT,Sans fonction 39,%DB109.DBW76,Sans fonction,Télémesure,
78.0,Array_Pictures_I[40],INT,Sans fonction 40,%DB109.DBW78,Sans fonction,Télémesure,
80.0,Array_MAX_I,INT,Taille maxi. du champ correspond à longueur m axi. du champ en format entier Sans fonction,%DB109.DBW80,Sans fonction,Télémesure,m
82.0,Vi_EN_pic,BOOL,Validation pour écran équivalent visualisatio n Sans fonction,%DB109.DBX82.0,Sans fonction,Télésignal,
82.1,RSV_Vi_EN,BOOL,Validation pour la visualisation Sans fonction,%DB109.DBX82.1,Sans fonction,Télésignal,
82.2,RSV_Vi_EN_keyboard,BOOL,Validation pour les touches PC Sans fonction,%DB109.DBX82.2,Sans fonction,Télésignal,
82.3,RES1,BOOL,Sans fonction 41,%DB109.DBX82.3,Sans fonction,Télésignal,
82.4,RES2,BOOL,Sans fonction 42,%DB109.DBX82.4,Sans fonction,Télésignal,
82.5,RES3,BOOL,Sans fonction 43,%DB109.DBX82.5,Sans fonction,Télésignal,
82.6,RES4,BOOL,Sans fonction 44,%DB109.DBX82.6,Sans fonction,Télésignal,
82.7,RES5,BOOL,Sans fonction 45,%DB109.DBX82.7,Sans fonction,Télésignal,
83.0,Vi_fk01_r,BOOL,Touche de fonction F1: analyse du front monta nt Sans fonction,%DB109.DBX83.0,Sans fonction,Télésignal,
83.1,Vi_fk01_t,BOOL,Touche de fonction F1: analyse de l'impulsion prolongée Sans fonction,%DB109.DBX83.1,Sans fonction,Télécommande,
83.2,Vi_fk01_c,BOOL,Touche de fonction F1: analyse du signal activé Sans fonction,%DB109.DBX83.2,Sans fonction,Télésignal,
83.3,Vi_fk02_r,BOOL,Touche de fonction F2: analyse du front monta nt Sans fonction,%DB109.DBX83.3,Sans fonction,Télésignal,
83.4,Vi_fk02_t,BOOL,Touche de fonction F2: analyse de l'impulsion prolongée Sans fonction,%DB109.DBX83.4,Sans fonction,Télécommande,
83.5,Vi_fk02_c,BOOL,Touche de fonction F2: analyse du signal activé Sans fonction,%DB109.DBX83.5,Sans fonction,Télésignal,
83.6,Vi_fk03_r,BOOL,Touche de fonction F3: analyse du front monta nt Sans fonction,%DB109.DBX83.6,Sans fonction,Télésignal,
83.7,Vi_fk03_t,BOOL,Touche de fonction F3: analyse de l'impulsion prolongée P DWON Sans fonction,%DB109.DBX83.7,Sans fonction,Télécommande,
84.0,Vi_fk03_c,BOOL,Touche de fonction F3: analyse du signal activé w C mw Sans fonction,%DB109.DBX84.0,Sans fonction,Télésignal,
84.1,Vi_fk04_r,BOOL,Touche de fonction F4: analyse du front w monta nt Sans fonction,%DB109.DBX84.1,Sans fonction,Télésignal,
84.2,Vi_fk04_t,BOOL,Touche de fonction F4: analyse de l'impulsion prolongée Sans fonction,%DB109.DBX84.2,Sans fonction,Télécommande,
84.3,Vi_fk04_c,BOOL,Touche de fonction F4: analyse du signal activé Sans fonction,%DB109.DBX84.3,Sans fonction,Télésignal,
84.4,Vi_fk05_r,BOOL,Touche de fonction F5: analyse du front monta nt Sans fonction,%DB109.DBX84.4,Sans fonction,Télésignal,
84.5,Vi_fk05_t,BOOL,Touche de fonction F5: analyse de l'impulsion prolongée Sans fonction,%DB109.DBX84.5,Sans fonction,Télécommande,
84.6,Vi_fk05_c,BOOL,Touche de fonction F5: analyse du signal activé Sans fonction,%DB109.DBX84.6,Sans fonction,Télésignal,
84.7,Vi_fk06_r,BOOL,Touche de fonction F6: diagnostic du front mo ntant Sans fonction,%DB109.DBX84.7,Sans fonction,Télésignal,
85.0,Vi_fk06_t,BOOL,Touche de fonction F6: diagnostic de l'impuls ion prolongée Sans fonction,%DB109.DBX85.0,Sans fonction,Télésignal,
85.1,Vi_fk06_c,BOOL,Touche de fonction F6: diagnostic du signal a ctivé Sans fonction,%DB109.DBX85.1,Sans fonction,Télésignal,
85.2,Vi_fk07_r,BOOL,Touche de fonction F7: diagnostic du front mo ntant Sans fonction,%DB109.DBX85.2,Sans fonction,Télésignal,
85.3,Vi_fk07_t,BOOL,Touche de fonction F7: diagnostic de l'impuls ion prolongée Sans fonction,%DB109.DBX85.3,Sans fonction,Télésignal,
85.4,Vi_fk07_c,BOOL,Touche de fonction F7: diagnostic du signal a ctivé Sans fonction,%DB109.DBX85.4,Sans fonction,Télésignal,
85.5,Vi_fk08_r,BOOL,Touche de fonction F8: diagnostic du front mo ntant Sans fonction,%DB109.DBX85.5,Sans fonction,Télésignal,
85.6,Vi_fk08_t,BOOL,Touche de fonction F8: diagnostic de l'impuls ion prolongée Sans fonction,%DB109.DBX85.6,Sans fonction,Télésignal,
85.7,Vi_fk08_c,BOOL,Touche de fonction F8: diagnostic du signal a ctivé Sans fonction,%DB109.DBX85.7,Sans fonction,Télésignal,
86.0,Vi_fk09_r,BOOL,Touche de fonction F9: diagnostic du front mo ntant Sans fonction,%DB109.DBX86.0,Sans fonction,Télésignal,
86.1,Vi_fk09_t,BOOL,Touche de fonction F9: diagnostic de l'impuls ion prolongée Sans fonction,%DB109.DBX86.1,Sans fonction,Télésignal,
86.2,Vi_fk09_c,BOOL,Touche de fonction F9: diagnostic du signal a ctivé Sans fonction,%DB109.DBX86.2,Sans fonction,Télésignal,
86.3,Vi_fk10_r,BOOL,Touche de fonction F10: analyse du front montant Sans fonction,%DB109.DBX86.3,Sans fonction,Télésignal,
86.4,Vi_fk10_t,BOOL,Touche de fonction F10: analyse de l'impulsio n prolongée Sans fonction,%DB109.DBX86.4,Sans fonction,Télésignal,
86.5,Vi_fk10_c,BOOL,Touche de fonction F10: analyse du signal activé Sans fonction,%DB109.DBX86.5,Sans fonction,Télésignal,
86.6,RES6,BOOL,Sans fonction 46,%DB109.DBX86.6,Sans fonction,Télésignal,
86.7,RES7,BOOL,Sans fonction 47,%DB109.DBX86.7,Sans fonction,Télésignal,
87.0,Vi_rel_pic_0000,BOOL,Validation pour appel de l'écran 0000 Sans fonction 1,%DB109.DBX87.0,Sans fonction,Télésignal,
87.1,Vi_rel_pic_0001,BOOL,Validation pour appel de l'écran 0001 Sans fonction 2,%DB109.DBX87.1,Sans fonction,Télésignal,
87.2,Vi_rel_pic_0010,BOOL,Validation pour appel de l'écran 0010 Sans fonction 3,%DB109.DBX87.2,Sans fonction,Télésignal,
87.3,Vi_rel_pic_0020,BOOL,Validation pour appel de l'écran 0020 Sans fonction 4,%DB109.DBX87.3,Sans fonction,Télésignal,
87.4,Vi_rel_pic_1000,BOOL,Validation pour appel de l'écran 1000 Sans fonction 5,%DB109.DBX87.4,Sans fonction,Télésignal,
87.5,Vi_rel_pic_1100,BOOL,Validation pour appel de l'écran 1100 Sans fonction 6,%DB109.DBX87.5,Sans fonction,Télésignal,
87.6,Vi_rel_pic_1200,BOOL,Validation pour appel de l'écran 1200 Sans fonction 7,%DB109.DBX87.6,Sans fonction,Télésignal,
87.7,Vi_rel_pic_1201,BOOL,Validation pour appel de l'écran 1201 Sans fonction 8,%DB109.DBX87.7,Sans fonction,Télésignal,
88.0,Vi_rel_pic_1202,BOOL,Validation pour appel de l'écran 1202 Sans fonction 9,%DB109.DBX88.0,Sans fonction,Télésignal,
88.1,Vi_rel_pic_1300,BOOL,Validation pour appel de l'écran 1300 Sans fonction 10,%DB109.DBX88.1,Sans fonction,Télésignal,
88.2,Vi_rel_pic_1400,BOOL,Validation pour appel de l'écran 1400 Sans fonction 11,%DB109.DBX88.2,Sans fonction,Télésignal,
88.3,Vi_rel_pic_1500,BOOL,Validation pour appel de l'écran 1500 Sans fonction 12,%DB109.DBX88.3,Sans fonction,Télésignal,
88.4,Vi_rel_pic_1600,BOOL,Validation pour appel de l'écran 1600 Sans fonction 13,%DB109.DBX88.4,Sans fonction,Télésignal,
88.5,Vi_rel_pic_1700,BOOL,Validation pour appel de l'écran 1700 Sans fonction 14,%DB109.DBX88.5,Sans fonction,Télésignal,
88.6,Vi_rel_pic_1701,BOOL,Validation pour appel de l'écran 1701 Sans fonction 15,%DB109.DBX88.6,Sans fonction,Télésignal,
88.7,Vi_rel_pic_2000,BOOL,Validation pour appel de l'écran 2000 Sans fonction 16,%DB109.DBX88.7,Sans fonction,Télésignal,
89.0,Vi_rel_pic_2100,BOOL,Validation pour appel de l'écran 2100 Sans fonction 17,%DB109.DBX89.0,Sans fonction,Télésignal,
89.1,Vi_rel_pic_2200,BOOL,Validation pour appel de l'écran 2200 Sans fonction 18,%DB109.DBX89.1,Sans fonction,Télésignal,
89.2,Vi_rel_pic_2201,BOOL,Validation pour appel de l'écran 2201 Sans fonction 19,%DB109.DBX89.2,Sans fonction,Télésignal,
89.3,Vi_rel_pic_2202,BOOL,Validation pour appel de l'écran 2202 Sans fonction 20,%DB109.DBX89.3,Sans fonction,Télésignal,
89.4,Vi_rel_pic_2203,BOOL,Validation pour appel de l'écran 2203 Sans fonction 21,%DB109.DBX89.4,Sans fonction,Télésignal,
89.5,Vi_rel_pic_2204,BOOL,Validation pour appel de l'écran 2204 Sans fonction 22,%DB109.DBX89.5,Sans fonction,Télésignal,
89.6,Vi_rel_pic_2300,BOOL,Validation pour appel de l'écran 2300 Sans fonction 23,%DB109.DBX89.6,Sans fonction,Télésignal,
89.7,Vi_rel_pic_2400,BOOL,Validation pour appel de l'écran 2400 Sans fonction 24,%DB109.DBX89.7,Sans fonction,Télésignal,
90.0,Vi_rel_pic_2500,BOOL,Validation pour appel de l'écran 2500 Sans fonction 25,%DB109.DBX90.0,Sans fonction,Télésignal,
90.1,Vi_rel_pic_3000,BOOL,Validation pour appel de l'écran 3000 Sans fonction 26,%DB109.DBX90.1,Sans fonction,Télésignal,
90.2,Vi_rel_pic_3100,BOOL,Validation pour appel de l'écran 3100 Sans fonction 27,%DB109.DBX90.2,Sans fonction,Télésignal,
90.3,Vi_rel_pic_3300,BOOL,Validation pour appel de l’écran 3300 Sans fonction 28,%DB109.DBX90.3,Sans fonction,Télésignal,
90.4,Vi_rel_pic_3400,BOOL,Validation pour appel de l'écran 3400 Sans fonction 29,%DB109.DBX90.4,Sans fonction,Télésignal,
90.5,Vi_rel_pic_3500,BOOL,Validation pour appel de l'écran 3500 Sans fonction 30,%DB109.DBX90.5,Sans fonction,Télésignal,
90.6,Vi_rel_pic_4000,BOOL,Validation pour appel de l'écran 4000 Sans fonction 31,%DB109.DBX90.6,Sans fonction,Télésignal,
90.7,Vi_rel_pic_5000,BOOL,Validation pour appel de l'écran 5000 Sans fonction 32,%DB109.DBX90.7,Sans fonction,Télésignal,
91.0,Vi_rel_pic_5100,BOOL,Validation pour appel de l'écran 5100 Sans fonction 33,%DB109.DBX91.0,Sans fonction,Télésignal,
91.1,Vi_rel_pic_5200,BOOL,Validation pour appel de l'écran 5200 Sans fonction 34,%DB109.DBX91.1,Sans fonction,Télésignal,
91.2,Vi_rel_pic_5300,BOOL,Validation pour appel de l'écran 5300 Sans fonction 35,%DB109.DBX91.2,Sans fonction,Télésignal,
91.3,Vi_rel_pic_5400,BOOL,Validation pour appel de l'écran 5400 Sans fonction 36,%DB109.DBX91.3,Sans fonction,Télésignal,
91.4,Vi_rel_pic_5500,BOOL,Validation pour appel de l'écran 5500 Sans fonction 37,%DB109.DBX91.4,Sans fonction,Télésignal,
91.5,Vi_rel_pic_5501,BOOL,Validation pour appel de l'écran 5501 Sans fonction 38,%DB109.DBX91.5,Sans fonction,Télésignal,
91.6,Vi_rel_pic_5600,BOOL,Validation pour appel de l'écran 5600 Sans fonction 39,%DB109.DBX91.6,Sans fonction,Télésignal,
91.7,Vi_rel_pic_6000,BOOL,Validation pour appel de l'écran 6000 Sans fonction 40,%DB109.DBX91.7,Sans fonction,Télésignal,
92.0,Vi_rel_pic_6100,BOOL,Validation pour appel de l'écran 6100 Sans fonction 41,%DB109.DBX92.0,Sans fonction,Télésignal,
92.1,Vi_rel_pic_7000,BOOL,Validation pour appel de l'écran 7000 Sans fonction 42,%DB109.DBX92.1,Sans fonction,Télésignal,
92.2,Vi_rel_pic_7100,BOOL,Validation pour appel de l'écran 7100 Sans fonction 43,%DB109.DBX92.2,Sans fonction,Télésignal,
92.3,Vi_rel_pic_7200,BOOL,Validation pour appel de l'écran 7200 Sans fonction 44,%DB109.DBX92.3,Sans fonction,Télésignal,
92.4,Vi_rel_pic_7201,BOOL,Validation pour appel de l'écran 7201 P DWON Sans fonction,%DB109.DBX92.4,Sans fonction,Télésignal,
92.5,Vi_rel_pic_7202,BOOL,Validation pour appel de l'écran 7202 Sans fonction 45,%DB109.DBX92.5,Sans fonction,Télésignal,
92.6,Vi_rel_pic_7300,BOOL,Validation pour appel de l'écran 7300 w C mw Sans fonction,%DB109.DBX92.6,Sans fonction,Télésignal,
92.7,Vi_rel_pic_7500,BOOL,Validation pour appel de l'écran 7500 w Sans fonction,%DB109.DBX92.7,Sans fonction,Télésignal,
93.0,Vi_rel_pic_7600,BOOL,Validation pour appel de l'écran 7600 Sans fonction 46,%DB109.DBX93.0,Sans fonction,Télésignal,
93.1,Vi_rel_pic_7660,BOOL,Validation pour appel de l’écran 7660 Sans fonction 47,%DB109.DBX93.1,Sans fonction,Télésignal,
93.2,Vi_rel_pic_7670,BOOL,Validation pour appel de l’écran 7670 Sans fonction 48,%DB109.DBX93.2,Sans fonction,Télésignal,
93.3,Vi_rel_pic_7700,BOOL,Validation pour appel de l'écran 7700 Sans fonction 49,%DB109.DBX93.3,Sans fonction,Télésignal,
93.4,Vi_rel_pic_7800,BOOL,Validation pour appel de l'écran 7800 Sans fonction 50,%DB109.DBX93.4,Sans fonction,Télésignal,
93.5,Vi_rel_pic_7810,BOOL,Validation pour appel de l'écran 7810 Sans fonction 51,%DB109.DBX93.5,Sans fonction,Télésignal,
93.6,Vi_rel_pic_7820,BOOL,Validation pour appel de l'écran 7820 Sans fonction 52,%DB109.DBX93.6,Sans fonction,Télésignal,
93.7,Vi_rel_pic_7860,BOOL,Validation pour appel de l'écran 7860 Sans fonction 53,%DB109.DBX93.7,Sans fonction,Télésignal,
94.0,Vi_rel_pic_7870,BOOL,Validation pour appel de l'écran 7870 Sans fonction 54,%DB109.DBX94.0,Sans fonction,Télésignal,
94.1,Vi_rel_pic_7900,BOOL,Validation pour appel de l'écran 7900 Sans fonction 55,%DB109.DBX94.1,Sans fonction,Télésignal,
94.2,Vi_rel_pic_7950,BOOL,Validation pour appel de l'écran 7950 Sans fonction 56,%DB109.DBX94.2,Sans fonction,Télésignal,
94.3,Vi_rel_pic_8000,BOOL,Validation pour appel de l'écran 8000 Sans fonction 57,%DB109.DBX94.3,Sans fonction,Télésignal,
94.4,Vi_rel_pic_8100,BOOL,Validation pour appel de l'écran 8100 Sans fonction 58,%DB109.DBX94.4,Sans fonction,Télésignal,
94.5,Vi_rel_pic_8200,BOOL,Validation pour appel de l'écran 8200 Sans fonction 59,%DB109.DBX94.5,Sans fonction,Télésignal,
94.6,Vi_rel_pic_8300,BOOL,Validation pour appel de l'écran 8300 Sans fonction 60,%DB109.DBX94.6,Sans fonction,Télésignal,
